year,site,tsq,chs_max_ln,chs_mean_ln,chs_sd_ln,chs_cv_ln,chs_gini_ln,openness_ln,enl0_ln,enl1_ln,enl2_ln,boxdim_ln,slope,aspect,chs_max_tsq,chs_mean_tsq,chs_sd_tsq,chs_cv_tsq,chs_gini_tsq,openness_tsq,enl0_tsq,enl1_tsq,enl2_tsq,boxdim_tsq
2023,A,I29_1218,13.1,10,1.5,0.2,0.1,0,13,10.468,9.514,2.0961,29.5,NA,12.9,10.2,1.3,0.1,0.1,0,13,9.565,8.249,1.8504
2023,A,H27_1710,7.7,6,1.1,0.2,0.1,0,8,6.758,6.334,1.9288,1.9,NA,7.6,6,1.2,0.2,0.1,0,8,6.268,5.704,1.679
2023,A,H27_0307,6.4,5.6,0.3,0.1,0,0,6,5.318,4.636,2.0265,16.1,NA,6.3,5.7,0.2,0,0,0,6,5.241,4.535,1.9448
2023,A,H27_0005,6.3,5.1,0.5,0.1,0.1,0,6,5.356,5.098,2.1633,22.4,NA,6.3,5,0.3,0.1,0,0,6,5.103,4.969,2.051
2023,A,G26_1103,9.5,8,0.9,0.1,0.1,0,9,7.796,7.025,2.1667,25.1,NA,9.5,8.5,0.7,0.1,0,0,9,7.604,6.663,1.8153
2023,A,G21_1816,7.5,6.1,0.6,0.1,0.1,0,7,5.979,5.484,1.9172,35.5,NA,7.5,6.4,0.4,0.1,0,0,7,6.354,5.953,1.7486
2023,A,G21_0812,7.7,5.3,1,0.2,0.1,0,8,5.674,5.296,1.9586,37,NA,7.7,5.5,0.7,0.1,0.1,0,8,5.33,5.008,1.7936
2023,A,G21_0410,6.1,4.7,0.9,0.2,0.1,0,6,4.971,4.68,2.1618,34.5,NA,6,5,0.6,0.1,0.1,0,6,4.935,4.673,2.0309
2023,A,M13_1309,5.7,3.3,1.3,0.4,0.2,0.1,6,4.408,4.048,1.9702,18.3,NA,4.9,3.7,0.8,0.2,0.1,0,5,4.08,3.9,2.007
2023,A,M13_1816,6.5,3.3,1.5,0.4,0.2,0.2,6,4.231,3.631,2.132,27.6,NA,6.5,4.2,1.4,0.3,0.2,0,6,4.536,4.03,2.1206
2023,A,M13_0909,4.8,2.7,1.1,0.4,0.2,0.2,5,3.669,3.363,1.9123000000000001,18.1,NA,4.7,3.3,1.1,0.3,0.2,0,5,3.881,3.598,1.7054
2023,A,M11_1108,6.4,4.8,0.7,0.1,0.1,0,7,5.29,4.94,2.1518,45.3,NA,5.4,4.7,0.4,0.1,0,0,6,4.571,4.143,2.0738
2023,A,M11_1616,6,4.6,0.7,0.1,0.1,0,6,4.728,4.501,2.1948,43.9,NA,5.3,4.5,0.4,0.1,0,0,5,4.294,4.015,2.1292
2023,A,O12_0712,9.6,7.3,1,0.1,0.1,0,10,7.38,6.43,1.9936,37.5,NA,8.7,7.3,1,0.1,0.1,0,9,7.007,6.239,1.8939
2023,A,O12_0016,7.3,4.8,1.3,0.3,0.1,0,7,5.502,5.174,1.9486,32.9,NA,5.7,4.8,1.1,0.2,0.1,0,6,4.9,4.589,1.9107
2023,A,O11_0303,8.7,6,1.4,0.2,0.1,0,9,6.789,6.16,1.8981,38.7,NA,7,6.2,0.9,0.2,0.1,0,7,6.621,6.317,1.6827
2023,A,X14_0808,12.4,10.5,0.9,0.1,0,0,12,10.338,9.331,1.9438,31.7,NA,12.4,10.6,1,0.1,0,0,12,10.073,9.003,1.8632
2023,A,X14_1408,12.3,10.5,0.6,0.1,0,0,12,8.468,6.934,2.0102,33.4,NA,12.3,10.8,0.6,0.1,0,0,12,7.922,6.364,1.7738
2023,A,X14_0409,13.7,10.8,1.1,0.1,0.1,0,14,10.652,9.353,1.8629,33.6,NA,13.7,11.5,0.8,0.1,0,0,14,11.212,10.163,1.6429
2023,A,N27_0804,12.1,10.9,0.8,0.1,0,0,12,8.973,7.65,1.9664,15.1,NA,12.1,11.1,0.8,0.1,0,0,12,9.67,8.402,1.635
2023,A,N27_0104,13.8,11.7,1,0.1,0,0,14,10.645,8.833,1.7333,16.4,NA,13.1,11.4,0.7,0.1,0,0,13,7.376,5.444,1.5128
2023,A,O28_1715,11.3,9.3,1,0.1,0.1,0,11,9.352,8.149,1.7937,28.7,NA,10.8,9.6,0.6,0.1,0,0,11,8.432,7.231,1.6654
2023,A,D32_1401,13.8,11.7,1.2,0.1,0.1,0,14,11.797,11.057,1.8229,26.6,NA,12.9,11.9,0.5,0,0,0,13,9.807,8.356,1.614
